City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Kavieng,PG,-2.5744,150.7967,83.68,74,27,14.36,light rain
242,Olga,RU,43.7444,135.2892,72.36,39,74,3.04,broken clouds
243,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,100,90,3.44,mist
244,Nelson Bay,AU,-32.7167,152.15,74.28,39,0,1.01,clear sky
245,Kirakira,SB,-10.4544,161.9205,83.73,75,31,14.05,scattered clouds
246,Valdivia,CL,-39.8142,-73.2459,41.09,94,10,1.23,clear sky
247,Porto Novo,BJ,6.4965,2.6036,78.62,91,72,4.63,broken clouds
248,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,4.61,clear sky
249,Lasalgaon,IN,20.15,74.2333,74.77,82,36,9.93,scattered clouds
250,Tyukalinsk,RU,55.8732,72.1967,39.42,83,50,13.73,scattered clouds
251,Arlit,NE,18.7369,7.3853,87.58,11,1,4.72,clear sky
252,Anloga,GH,5.7947,0.8973,77.02,86,60,10.38,broken clouds
253,Provideniya,RU,64.3833,-173.3,47.34,81,10,5.5,clear sky
254,Lavrentiya,RU,65.5833,-171.0,37.0,98,100,11.3,light rain
255,Biak,ID,-0.9131,122.8766,80.58,68,100,6.22,overcast clouds
256,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,81,90,4.61,overcast clouds
257,Mazamet,FR,43.49,2.373,57.22,95,90,5.75,overcast clouds
258,Avera,US,33.194,-82.5271,78.31,63,100,3.74,overcast clouds
259,Tuatapere,NZ,-46.1333,167.6833,52.83,70,100,6.73,moderate rain
260,Aykhal,RU,66.0,111.5,34.52,61,12,4.47,few clouds
261,Treinta Y Tres,UY,-33.2333,-54.3833,55.98,99,11,6.67,few clouds
262,Merauke,ID,-8.4667,140.3333,81.59,74,100,15.28,overcast clouds
263,Dongying,CN,37.4564,118.4856,65.7,88,100,14.03,light rain
264,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.36,39,2,4.7,clear sky
265,Kazanskaya,RU,45.4106,40.4361,60.67,74,100,6.29,light rain
266,Kahului,US,20.8947,-156.47,84.22,67,20,28.77,few clouds
267,Port Augusta,AU,-32.5,137.7667,73.54,19,0,15.21,clear sky
268,Hambantota,LK,6.1241,81.1185,82.74,89,20,5.75,few clouds
269,Bilibino,RU,68.0546,166.4372,29.05,71,44,6.35,scattered clouds
270,Linden,GY,6.0,-58.3,75.34,91,100,1.77,overcast clouds
271,Novoagansk,RU,61.9449,76.6625,35.73,97,100,14.58,light rain
272,Priiskovyy,RU,51.9333,116.6333,55.22,56,8,4.97,clear sky
273,Grindavik,IS,63.8424,-22.4338,48.15,87,75,12.66,broken clouds
274,Fortuna,US,40.5982,-124.1573,61.93,66,90,1.01,overcast clouds
275,Aklera,IN,24.4167,76.5667,76.91,93,89,12.33,overcast clouds
276,Antofagasta,CL,-23.65,-70.4,56.48,83,100,4.16,overcast clouds
277,Pingdu,CN,36.7844,119.9464,71.04,86,100,12.73,light rain
278,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,76,1,10.36,clear sky
279,Salinopolis,BR,-0.6136,-47.3561,78.49,84,8,10.94,clear sky
280,La Ronge,CA,55.1001,-105.2842,57.45,72,90,9.22,overcast clouds
281,Sioux Lookout,CA,50.1001,-91.917,62.98,63,20,9.22,few clouds
282,Hasaki,JP,35.7333,140.8333,77.4,67,98,24.9,overcast clouds
283,Porto Torres,IT,40.835,8.3972,66.38,81,48,6.24,scattered clouds
284,Yacuanquer,CO,1.1158,-77.4017,46.92,91,22,5.23,few clouds
285,Camacha,PT,33.0833,-16.3333,68.76,73,75,9.22,broken clouds
286,Anchorage,US,61.2181,-149.9003,55.69,61,1,5.75,clear sky
287,Portland,US,45.5234,-122.6762,60.73,89,73,1.99,broken clouds
288,Simao,CN,22.7886,100.9748,74.26,82,72,1.5,light rain
289,Mizdah,LY,31.4451,12.9801,70.97,25,0,1.79,clear sky
290,Nanhai,CN,30.1282,111.7784,89.19,59,99,13.27,light rain
291,Ancud,CL,-41.8697,-73.8203,42.33,84,13,1.61,few clouds
292,Nizhniy Kuranakh,RU,58.8353,125.4869,44.83,59,51,9.75,broken clouds
293,Serenje,ZM,-13.2325,30.2352,57.85,85,96,11.25,overcast clouds
294,Ahvaz,IR,31.3203,48.6693,78.75,38,0,2.3,clear sky
295,Mulege,MX,26.8833,-111.9833,85.33,59,84,1.14,broken clouds
296,Santiago Del Estero,AR,-27.7951,-64.2615,70.81,46,23,7.9,few clouds
297,Berdigestyakh,RU,62.0989,126.6992,39.43,76,61,13.49,broken clouds
298,Jiamusi,CN,46.8333,130.35,47.68,84,100,5.21,light rain
299,Margherita,IN,27.2833,95.6833,81.88,74,27,2.82,scattered clouds
300,Pital,CO,2.2665,-75.8044,68.14,81,87,5.5,overcast clouds
301,Wolfsburg,DE,52.4333,10.8,55.24,86,20,4.92,few clouds
302,Vao,NC,-22.6667,167.4833,68.97,59,100,16.89,overcast clouds
303,Montevideo,UY,-34.8335,-56.1674,58.71,100,40,4.61,scattered clouds
304,Slave Lake,CA,55.2834,-114.769,51.78,82,40,10.36,scattered clouds
305,Luba,GQ,3.4568,8.5547,75.09,88,99,1.25,moderate rain
306,Mehamn,NO,71.0357,27.8492,40.87,79,2,12.19,clear sky
307,Tura,IN,25.5198,90.2201,77.9,90,25,4.21,scattered clouds
308,Westport,US,41.1415,-73.3579,76.55,87,1,3.0,clear sky
309,Najran,SA,17.4924,44.1277,70.45,17,68,1.92,broken clouds
310,Yuli,NG,9.6989,10.2744,73.22,95,57,4.12,broken clouds
311,Kargasok,RU,59.0556,80.8572,41.67,81,100,11.07,overcast clouds
312,Hekinan,JP,34.8833,136.9833,80.55,65,75,3.44,broken clouds
313,Komsomolskiy,UZ,40.4272,71.7189,74.12,25,0,9.22,clear sky
314,Salisbury,GB,51.0693,-1.7957,60.42,94,75,6.91,mist
315,Saryg-Sep,RU,51.5,95.6,64.62,35,4,3.38,clear sky
316,General Pico,AR,-35.6566,-63.7568,61.27,74,0,10.94,clear sky
317,Gemena,CD,3.25,19.7667,69.44,96,100,0.43,overcast clouds
318,Necochea,AR,-38.5473,-58.7368,50.04,85,4,9.98,clear sky
319,Shenjiamen,CN,29.9576,122.298,77.07,80,64,14.29,broken clouds
320,Narsaq,GL,60.9167,-46.05,41.22,98,100,3.36,light rain
321,Kamaishi,JP,39.2667,141.8833,77.95,58,20,5.19,few clouds
322,Kyren,RU,51.6828,102.1408,64.53,49,49,0.4,scattered clouds
323,Paamiut,GL,61.994,-49.6678,36.82,79,100,8.79,overcast clouds
324,Aripuana,BR,-9.1667,-60.6333,74.03,86,26,2.64,scattered clouds
325,Port Hardy,CA,50.6996,-127.4199,53.78,94,75,2.3,light intensity shower rain
326,Bibai,JP,43.3247,141.8586,75.15,54,49,7.49,scattered clouds
327,Cockburn Town,TC,21.4612,-71.1419,82.67,73,0,16.31,clear sky
328,Dubbo,AU,-32.25,148.6167,66.33,34,0,5.75,clear sky
329,Malpe,IN,13.35,74.7167,79.9,86,100,1.95,overcast clouds
330,George Town,MY,5.4112,100.3354,83.89,80,20,3.44,few clouds
331,Riyadh,SA,24.6877,46.7219,77.14,17,0,7.67,clear sky
332,Sisimiut,GL,66.9395,-53.6735,31.66,52,99,8.16,overcast clouds
333,Mbandaka,CD,0.0487,18.2603,69.66,94,99,1.86,overcast clouds
334,Baruun-Urt,MN,46.6806,113.2792,57.33,70,49,15.68,scattered clouds
335,Cuiluan,CN,47.72,128.648,49.68,80,98,2.89,overcast clouds
336,Lasa,IT,46.6166,10.7002,58.08,92,91,2.42,overcast clouds
337,Swift Current,CA,50.2834,-107.8014,70.61,30,75,12.66,broken clouds
338,Kiunga,PG,-6.1219,141.2906,78.66,85,99,3.83,overcast clouds
339,Phan Thiet,VN,10.9333,108.1,75.45,93,100,2.82,light rain
340,Igrim,RU,63.1906,64.4162,33.57,97,100,15.41,light rain
341,Takanosu,JP,40.2219,140.3694,77.22,73,75,2.3,broken clouds
342,Kilindoni,TZ,-7.9139,39.6668,75.67,79,23,7.94,light rain
343,Sur,OM,22.5667,59.5289,82.33,69,5,9.4,clear sky
344,Okhotsk,RU,59.3833,143.3,50.97,63,95,7.43,overcast clouds
345,Lake Charles,US,30.2131,-93.2044,79.99,90,90,5.75,overcast clouds
346,Aginskoye,RU,51.1,114.53,54.34,61,8,9.66,clear sky
347,Karratha,AU,-20.7377,116.8463,88.07,17,3,10.07,clear sky
